nombre_producto,total_vendido
Foaming Hand Sanitizer,0
SUS SCROFA PLACENTA,0
Aspirin,0
DELPHINIUM STAPHISAGRIA SEED,0
AMOXICILLIN AND CLAVULANATE POTASSIUM,0
CAPSAICIN,0
"CALENDULA OFFICINALIS FLOWERING TOP, GERANIUM MACULATUM ROOT, SODIUM CHLORIDE, THUJA OCCIDENTALIS LEAFY TWIG, ZINC, and ECHINACEA ANGUSTIFOLIA",0
PreNatal Vitamins Plus,0
"Menthol, zinc oxide",0
NITROUS OXIDE,0
"carbidopa, levodopa and entacapone",0
Bromfenac sodium,0
Atenolol,0
Ondansetron,0
ARISTOLOCHIA CLEMATITIS,0
"glycerin, phenylephrine HCl, pramoxine HCl, white petrolatum",0
Famotidine,0
FLUCONAZOLE,0
"OCTINOXATE, OXYBENZONE",0
Povidone iodine swabstick,0
Octinoxate and Zinc Oxide,0
Levofloxacin,0
Theophylline,0
Ciprofloxacin,0
metolazone,0
Risperidone,0
Tramadol Hydrochloride,0
"Acetaminophen, Dextromethorphan HBr and Phenylephrine HCL",0
"Acetaminophen, Dextromethorphan Hydrobromide, Diphenhydramine Hydrochloride, Guaifenesin, and Phenylephrine Hydrochloride",0
"Acetaminophen, Doxylamine succinate, Phenylephrine HCl",0
Octinoxate and Oxybenzone,0
Stannous Fluoride,0
GEMCITABINE HYDROCHLORIDE,0
Ferrous Fumarate and Polysacchride Iron Vitamin Mineral Complex Supplement,0
Pecan Pollen,0
PANAX GINSENG FRUIT,0
BACITRACIN,0
"ASPIRIN, CITRIC ACID, SODIUM BICARBONATE",0
"Belladonna, Cantharis, Causticum, Equisetum hyemale, Ferrum metallicum, Gelsemium, Humulus, Kali phos., Lycopodium, Nat.mur., Plantago, Pulsatilla, Rhus aromatica, Sabal, Thyroidinum, Verbascum, Echinacea, Hydrastis, Passiflora, Valeriana",0
ELVITEGRAVIR,0
